sequence,frame_id,viewer,human_name,image_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_m,distance_m,torso_depth_m,torso_distance_m,num_visible_keypoints,keypoint_depths_m
001_tagging,00001,aria01,aria02,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00001.jpg,535.2971553694016,445.8715444355912,734.9078793464781,1065.4639845741735,2.123806830751281,2.192713771143709,2.141857683806512,2.167690085506133,17,2.074338 2.079474 2.035822 2.111417 1.957246 2.170805 1.865094 2.308501 1.829308 2.459608 1.909194 2.247604 2.036111 2.484750 1.997157 2.619624 1.918661
001_tagging,00001,aria01,aria03,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00001.jpg,840.2850444145892,426.48503638842055,986.8395912881582,735.3217066309709,3.912083817746833,4.279766406475455,4.020459634822981,4.339192955808468,17,3.636988 3.631787 3.660395 3.663894 3.737599 3.693483 3.962797 3.747472 4.103323 3.746936 4.168818 3.938693 4.102226 3.940880 4.176323 4.188566 4.405243
001_tagging,00011,aria01,aria02,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00011.jpg,241.5309907250616,322.46344495244017,770.8759890339463,1273.9372831927274,1.365458707479984,1.5525723606433133,1.3108227700370267,1.4076604730681117,17,1.399955 1.377635 1.379613 1.278278 1.316886 1.214511 1.307823 1.289540 1.355618 1.457047 1.505787 1.278338 1.343308 1.343424 1.629825 1.238544 1.496667
001_tagging,00011,aria01,aria03,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00011.jpg,377.67390760959466,398.69963495986053,522.6721144176915,778.0589501566435,3.218117839171562,3.60315015024356,3.390055398970868,3.706280302446226,17,2.897793 2.909035 2.892748 3.002617 2.945948 3.143483 3.127892 3.174727 3.264122 3.103077 3.298161 3.406808 3.373303 3.489305 3.287075 3.851444 3.540467
001_tagging,00011,aria01,aria04,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00011.jpg,1121.6982721501533,324.7254208876481,1362.2846918118087,952.4936637431881,1.665279767672561,2.4267767119505157,1.6900432849332843,2.5017767858614883,17,1.536673 1.499846 1.534096 1.373231 1.510840 1.370426 1.710826 1.341863 1.846799 1.337575 2.023159 1.590825 1.789261 1.661335 2.129673 1.757527 2.295800
001_tagging,00021,aria01,aria02,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00021.jpg,803.6274819434085,288.08103376174273,1160.9686334031453,1050.431863324292,1.675771061427229,1.949932838512136,1.6185574690030913,1.7866261629431412,17,1.732182 1.720102 1.713127 1.651831 1.582809 1.589267 1.514426 1.702473 1.563270 1.939102 1.778938 1.598613 1.638502 1.743384 1.844801 1.549789 1.625494
001_tagging,00021,aria01,aria03,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00021.jpg,555.5404088103437,375.0911131375799,760.0544377215429,800.6422045955508,2.821250400865245,2.9569455578494512,2.987280294509774,3.0514136043343347,17,2.552352 2.554684 2.552418 2.638978 2.588537 2.767888 2.761752 2.840362 2.860762 2.773499 2.777588 2.978288 2.996272 2.934357 2.915898 3.177878 3.289742
001_tagging,00021,aria01,aria04,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00021.jpg,1298.1377126110117,309.66902517581195,1408.0,789.3287325890896,1.5500400568560257,2.73435561960474,1.6295884737345827,2.9396112049354706,15,1.454815 1.422577 1.451296 1.317948 1.460431 1.296033 1.537702 1.298785 1.718308 1.400993 1.928326 1.452138 1.629588 1.548825 1.935079 1.572229 1.849893
001_tagging,00031,aria01,aria02,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00031.jpg,1144.3182800470609,345.31291858502414,1345.2874231638557,797.6541253592284,2.263300425132846,3.234442274328957,2.210226245377952,3.1406399097341873,17,2.322664 2.295399 2.317544 2.171681 2.265996 2.150899 2.192521 2.172658 2.250304 2.232194 2.462402 2.223440 2.197012 2.510033 2.292805 2.468492 1.950063
001_tagging,00031,aria01,aria03,data/media/rawalk/disk1/rawalk/datasets/ego_exo/camera_ready/01_tagging/001_tagging/ego/aria01/images/rgb/00031.jpg,705.7925378646164,353.793842120613,970.3513513796966,828.8115822736337,2.428837534069837,2.651488949936761,2.5577895890138107,2.6752796746441727,17,2.227270 2.233553 2.205740 2.314031 2.171974 2.487620 2.210109 2.697120 2.217147 2.737897 2.190936 2.637015 2.478564 2.638269 2.431391 2.797510 2.614092
