image_id,pred_worker_index,gt_worker_index,iou,pred_distance_m,gt_distance_m,distance_error_m,pred_distance_band,gt_distance_band,pred_high_visibility_vest,gt_high_visibility_vest,pred_helmet_status,gt_helmet_status,pred_orientation,gt_orientation,pred_occlusion_level,gt_occlusion_level
Garage1_000000.png,1,1,0.8679817059113283,5.2,2.978516,2.2214840000000002,Careful,Close,True,True,absent,absent,Back,Back,none,none
Garage1_000036.png,1,1,0.9530048292998263,4.8,3.447266,1.3527339999999999,Careful,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000060.png,1,1,0.9834194165502501,4.5,3.806641,0.6933590000000001,Careful,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000108.png,1,1,0.9826145863008654,4.0,4.574219,-0.5742190000000003,Careful,Careful,True,True,absent,absent,Side,Back,none,none
Garage1_000132.png,1,1,0.9574468153166664,3.5,4.839844,-1.3398440000000003,Careful,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000588.png,1,1,0.8550133549344536,6.5,6.722656,-0.22265599999999974,Safe,Safe,True,True,absent,absent,Side,Side,none,none
Garage1_000612.png,1,1,0.9135961521058644,6.0,7.039062,-1.0390620000000004,Careful,Safe,True,True,absent,absent,Side,Side,none,none
Garage1_000672.png,1,1,0.9524658520199982,5.5,7.257812,-1.7578120000000004,Careful,Safe,True,True,absent,absent,Side,Side,none,none
Garage1_000720.png,1,1,0.9538069353855867,5.0,,,Careful,,True,True,absent,absent,Back,Back,none,none
Garage1_000804.png,1,1,0.9455292378890943,4.5,8.65625,-4.15625,Careful,Safe,True,True,absent,absent,Side,Side,none,none
Garage1_000840.png,1,1,0.9540284800093589,3.5,8.609375,-5.109375,Careful,Safe,True,True,absent,absent,Facing,Facing,none,none
Garage1_000888.png,1,1,0.9686835251116919,3.0,7.421875,-4.421875,Careful,Safe,True,True,absent,absent,Facing,Facing,none,none
Garage1_000984.png,1,1,0.9638325290368689,4.0,5.585938,-1.5859379999999996,Careful,Careful,True,True,absent,absent,Facing,Facing,none,none
Garage1_001008.png,1,1,0.990059452645743,3.5,5.195312,-1.6953120000000004,Careful,Careful,True,True,absent,absent,Facing,Facing,none,none
Garage1_001032.png,1,1,0.9705197176793905,3.2,4.71875,-1.5187499999999998,Careful,Careful,True,True,absent,absent,Side,Side,none,none
