image_id,pred_worker_index,gt_worker_index,iou,pred_distance_m,gt_distance_m,distance_error_m,pred_distance_band,gt_distance_band,pred_high_visibility_vest,gt_high_visibility_vest,pred_helmet_status,gt_helmet_status,pred_orientation,gt_orientation,pred_occlusion_level,gt_occlusion_level
Garage1_000000.png,1,1,0.8679817059113283,3.1299052238464355,2.978516,0.1513892238464356,Careful,Close,True,True,absent,absent,Back,Back,none,none
Garage1_000036.png,1,1,0.9530048292998263,3.4930710792541504,3.447266,0.04580507925415045,Careful,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000060.png,1,1,0.9834194165502501,3.822878122329712,3.806641,0.016237122329711973,Careful,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000108.png,1,1,0.9826145863008654,4.616361618041992,4.574219,0.04214261804199193,Careful,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000132.png,1,1,0.9574468153166664,5.084279537200928,4.839844,0.24443553720092748,Safe,Careful,True,True,absent,absent,Back,Back,none,none
Garage1_000588.png,1,1,0.8550133549344536,6.730288028717041,6.722656,0.007632028717041273,Safe,Safe,True,True,absent,absent,Back,Side,none,none
Garage1_000612.png,1,1,0.9135961521058644,7.058219909667969,7.039062,0.019157909667968376,Safe,Safe,True,True,absent,absent,Facing,Side,none,none
Garage1_000672.png,1,1,0.9524658520199982,7.378108501434326,7.257812,0.1202965014343258,Safe,Safe,True,True,absent,absent,Side,Side,none,none
Garage1_000720.png,1,1,0.9538069353855867,7.248268127441406,,,,,True,True,absent,absent,Back,Back,none,none
Garage1_000804.png,1,1,0.9455292378890943,8.609260559082031,8.65625,-0.04698944091796875,Safe,Safe,True,True,absent,absent,Facing,Side,none,none
Garage1_000984.png,1,1,0.9638325290368689,5.510772228240967,5.585938,-0.07516577175903283,Safe,Safe,True,True,absent,absent,Facing,Facing,none,none
Garage1_001008.png,1,1,0.990059452645743,5.232511520385742,5.195312,0.03719952038574181,Safe,Safe,True,True,absent,absent,Facing,Facing,none,none
